name,mean_river_distance_m,min_river_distance_m
Beji,1317.59330768232,92.7666662956
Cinere,88.34890016999947,0.0
Jagakarsa,856.9312465803429,0.0
Dinas Sosial Loka Bina Karya,,
Pasar Minggu,685.5389884377691,0.0
Cilandak,415.3010464087475,0.0
Pancoran,541.191202680221,0.0
Mampang Prapatan,312.1404039915486,0.0
Kebayoran Lama,418.87061927640576,0.0
Kebayoran Baru,586.471569923798,0.0
Ciracas,555.3601811900115,0.0
Cipayung,1591.345519079242,0.0
Pasar Rebo,274.8526207425776,0.0
Kramat Jati,421.3285880974717,0.0
Makasar,638.0120030638287,0.0
Duren Sawit,871.6460390644179,0.0
Jatinegara,229.35178993818525,0.0
Tebet,635.3623068832525,0.0
Matraman,264.47012470293504,0.0
Pulo Gadung,419.1544681715855,0.0
Limo,0.0,0.0
Ciputat Timur,92.32866188777777,0.0
Pondok Aren,276.24744870078,0.0
Pesanggrahan,492.9244871672827,0.0
Larangan,1393.0084633430613,798.0090374139515
Karang Tengah,1669.1710712533136,131.1918776113766
Kebon Jeruk,456.20959522640186,0.0
Kembangan,702.2868993976153,0.0
Cipondoh,378.7721950681082,0.0
Batuceper,425.25273657533063,0.0
Setiabudi,394.2341070511864,0.0
Panitia Pemilihan Kecamatan,,
Tanah Abang,358.96506335126185,0.0
Menteng,237.4370275066694,0.0
Palmerah,341.04684766701627,0.0
Gedung Data Tomang,,
Gambir,259.86789884387696,0.0
Grogol Petamburan,349.07335389432114,0.0
Sawah Besar,262.29977559449725,0.0
Sekretariat Panwas Tambora,,
Cakung,1991.7958220926628,0.0
Senen,216.56666568819213,0.0
Johar Baru,409.44142903769284,0.0
Sekretariat Tagana,,
Cempaka Putih,298.082591024014,0.0
Koramil 08 Johar Baru,,
Kemayoran,325.16402915854815,0.0
Kelapa Gading,640.4145379565454,0.0
Tanjung Priok,705.5696431708466,0.0
Cilincing,3716.9087155877664,92.7666662956
Tambora,201.49703912813555,0.0
Taman Sari,424.2351047932425,0.0
Pademangan,327.5394618738872,0.0
Koja,928.1036791240041,0.0
PT. PLN Area Cengkareng,382.4867636731846,382.4867636731846
Cengkareng,747.027864815916,0.0
Kalideres,2592.6570679157735,0.0
Benda,4479.067455063169,706.4898822946824
Penjaringan,739.3445706214604,0.0
Kosambi,4851.549347210198,3279.7969402844155
