year,city_admin,subdistrict,ward,hazard_index,hazard_category
2023,KOTA ADM. JAKARTA BARAT,Cengkareng,CENGKARENG BARAT,1.8,SEDANG
2023,KOTA ADM. JAKARTA BARAT,Cengkareng,CENGKARENG TIMUR,1.6,SEDANG
2023,KOTA ADM. JAKARTA BARAT,Cengkareng,DURI KOSAMBI,1.8,SEDANG
2023,KOTA ADM. JAKARTA BARAT,Cengkareng,KAPUK,1.6,SEDANG
2023,KOTA ADM. JAKARTA BARAT,Cengkareng,KEDAUNG KALI ANGKE,1.6,SEDANG
2023,KOTA ADM. JAKARTA BARAT,Cengkareng,RAWA BUAYA,2.2,TINGGI
2023,KOTA ADM. JAKARTA BARAT,Grogol Petamburan,GROGOL,1.4,RENDAH
2023,KOTA ADM. JAKARTA BARAT,Grogol Petamburan,JELAMBAR,1.4,RENDAH
2023,KOTA ADM. JAKARTA BARAT,Grogol Petamburan,JELAMBAR BARU,1.6,SEDANG
2023,KOTA ADM. JAKARTA BARAT,Grogol Petamburan,TANJUNG DUREN SELATAN,1.4,RENDAH
2023,KOTA ADM. JAKARTA BARAT,Grogol Petamburan,TANJUNG DUREN UTARA,1.6,SEDANG
2023,KOTA ADM. JAKARTA BARAT,Grogol Petamburan,TOMANG,1.4,RENDAH
2023,KOTA ADM. JAKARTA BARAT,Kalideres,KAMAL,1.4,RENDAH
2023,KOTA ADM. JAKARTA BARAT,Kalideres,SEMANAN,1.6,SEDANG
2023,KOTA ADM. JAKARTA BARAT,Kalideres,TEGAL ALUR,1.8,SEDANG
2023,KOTA ADM. JAKARTA BARAT,Kebon Jeruk,DURI KEPA,1.4,RENDAH
2023,KOTA ADM. JAKARTA BARAT,Kebon Jeruk,KEBON JERUK,1.4,RENDAH
2023,KOTA ADM. JAKARTA BARAT,Kebon Jeruk,KEDOYA SELATAN,1.6,SEDANG
2023,KOTA ADM. JAKARTA BARAT,Kebon Jeruk,KEDOYA UTARA,1.8,SEDANG
2023,KOTA ADM. JAKARTA BARAT,Kebon Jeruk,SUKABUMI UTARA,1.4,RENDAH
2023,KOTA ADM. JAKARTA BARAT,Kembangan,JOGLO,1.6,SEDANG
2023,KOTA ADM. JAKARTA BARAT,Kembangan,KEMBANGAN SELATAN,2.0,TINGGI
2023,KOTA ADM. JAKARTA BARAT,Kembangan,KEMBANGAN UTARA,2.0,TINGGI
2023,KOTA ADM. JAKARTA BARAT,Kembangan,MERUYA SELATAN,1.4,RENDAH
2023,KOTA ADM. JAKARTA BARAT,Kembangan,MERUYA UTARA,1.4,RENDAH
2023,KOTA ADM. JAKARTA BARAT,Palmerah,JATI PULO,1.4,RENDAH
2023,KOTA ADM. JAKARTA BARAT,Palmerah,KOTA BAMBU UTARA,1.4,RENDAH
2023,KOTA ADM. JAKARTA BARAT,Taman Sari,MANGGA BESAR,1.4,RENDAH
2023,KOTA ADM. JAKARTA BARAT,Tambora,ANGKE,1.4,RENDAH
2023,KOTA ADM. JAKARTA BARAT,Tambora,KERENDANG,1.4,RENDAH
2023,KOTA ADM. JAKARTA PUSAT,Kemayoran,CEMPAKA BARU,1.4,RENDAH
2023,KOTA ADM. JAKARTA PUSAT,Kemayoran,GUNUNG SAHARI SELATAN,1.4,RENDAH
2023,KOTA ADM. JAKARTA PUSAT,Menteng,KEBON SIRIH,1.4,RENDAH
2023,KOTA ADM. JAKARTA PUSAT,Sawah Besar,MANGGA DUA SELATAN,1.4,RENDAH
2023,KOTA ADM. JAKARTA PUSAT,Senen,SENEN,1.4,RENDAH
2023,KOTA ADM. JAKARTA PUSAT,Tanah Abang,PETAMBURAN,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Cilandak,CILANDAK BARAT,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Cilandak,CIPETE SELATAN,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Cilandak,GANDARIA SELATAN,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Jagakarsa,CIGANJUR,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Jagakarsa,CIPEDAK,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Jagakarsa,LENTENG AGUNG,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Jagakarsa,TANJUNG BARAT,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Kebayoran Baru,CIPETE UTARA,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Kebayoran Baru,GANDARIA UTARA,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Kebayoran Baru,MELAWAI,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Kebayoran Baru,PETOGOGAN,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Kebayoran Baru,PULO,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Kebayoran Lama,CIPULIR,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Kebayoran Lama,GROGOL SELATAN,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Kebayoran Lama,GROGOL UTARA,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Kebayoran Lama,KEBAYORAN LAMA UTARA,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Mampang Prapatan,BANGKA,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Mampang Prapatan,KUNINGAN BARAT,1.8,SEDANG
2023,KOTA ADM. JAKARTA SELATAN,Mampang Prapatan,MAMPANG PRAPATAN,1.8,SEDANG
2023,KOTA ADM. JAKARTA SELATAN,Mampang Prapatan,PELA MAMPANG,1.8,SEDANG
2023,KOTA ADM. JAKARTA SELATAN,Pancoran,DUREN TIGA,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Pancoran,KALIBATA,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Pancoran,PANCORAN,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Pancoran,RAWA JATI,2.0,TINGGI
2023,KOTA ADM. JAKARTA SELATAN,Pasar Minggu,CILANDAK TIMUR,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Pasar Minggu,JATI PADANG,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Pasar Minggu,PEJATEN TIMUR,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Pesanggrahan,BINTARO,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Pesanggrahan,PETUKANGAN SELATAN,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Pesanggrahan,PETUKANGAN UTARA,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Pesanggrahan,ULUJAMI,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Setiabudi,KARET KUNINGAN,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Setiabudi,KARET SEMANGGI,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Setiabudi,KUNINGAN TIMUR,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Setiabudi,SETIA BUDI,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Tebet,KEBON BARU,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Tebet,TEBET BARAT,1.4,RENDAH
2023,KOTA ADM. JAKARTA SELATAN,Tebet,TEBET TIMUR,1.4,RENDAH
