kecamatan,hazard_index
Cakung,1.4
Cengkareng,1.7666666666666668
Cilandak,1.3999999999999997
Cilincing,1.5999999999999999
Cipayung,1.4
Ciracas,1.3999999999999997
Duren Sawit,1.4
Grogol Petamburan,1.4666666666666668
Jagakarsa,1.4
Jatinegara,2.3
Kalideres,1.5999999999999999
Kebayoran Baru,1.4
Kebayoran Lama,1.4
Kebon Jeruk,1.52
Kelapa Gading,1.4666666666666668
Kemayoran,1.4
Kembangan,1.6800000000000002
Koja,1.5333333333333332
Kramat Jati,1.4
Makasar,1.4
Mampang Prapatan,1.7
Menteng,1.4
Pademangan,1.3999999999999997
Palmerah,1.4
Pancoran,1.5499999999999998
Pasar Minggu,1.3999999999999997
Pasar Rebo,1.4
Penjaringan,1.8
Pesanggrahan,1.4
Pulo Gadung,1.5
Sawah Besar,1.4
Senen,1.4
Setiabudi,1.4
Taman Sari,1.4
Tambora,1.4
Tanah Abang,1.4
Tanjung Priok,1.3999999999999997
Tebet,1.3999999999999997
