data_period,city_admin,subdistrict,ward,water_height_cm,people_affected,max_evacuees,deaths,max_water_cm
201603,JAKARTA TIMUR,Pasar Rebo,GEDONG,30 - 40,0,0.0,0,40.0
201603,JAKARTA TIMUR,Pasar Rebo,PEKAYON,50 - 60,0,0.0,0,60.0
201603,JAKARTA UTARA,Pademangan,PADEMANGAN BARAT,30 - 40,0,0.0,0,40.0
201603,JAKARTA PUSAT,Gambir,GAMBIR,30,0,0.0,0,30.0
201607,JAKARTA BARAT,Cengkareng,RAWA BUAYA,30 - 50,50,0.0,0,50.0
201607,JAKARTA SELATAN,Grogol Petamburan,JELAMBAR,30,0,0.0,0,30.0
201607,JAKARTA SELATAN,Kebon Jeruk,KEDOYA SELATAN,30 - 60,0,0.0,0,60.0
201607,JAKARTA SELATAN,Kembangan,KEMBANGAN SELATAN,20 - 50,336,0.0,0,50.0
201607,JAKARTA SELATAN,Cilandak,CILANDAK BARAT,20 - 30,0,0.0,0,30.0
201607,JAKARTA SELATAN,Cilandak,LEBAK BULUS,70 - 100,2493,75.0,0,100.0
201607,JAKARTA SELATAN,Cilandak,PONDOK LABU,70 - 100,647,18.0,0,100.0
201607,JAKARTA SELATAN,Jagakarsa,JAGAKARSA,15 - 20,0,0.0,0,20.0
201607,JAKARTA SELATAN,Kebayoran Lama,CIPULIR,30 - 100,0,0.0,0,100.0
201607,JAKARTA SELATAN,Kebayoran Lama,KEBAYORAN LAMA UTARA,10 - 25,0,0.0,0,25.0
201607,JAKARTA SELATAN,Kebayoran Lama,PONDOK PINANG,30 - 190,713,16.0,0,190.0
201607,JAKARTA SELATAN,Pasar Minggu,JATI PADANG,20 - 40,0,0.0,0,40.0
201607,JAKARTA SELATAN,Pesanggrahan,BINTARO,20 - 50,673,0.0,0,50.0
201607,JAKARTA SELATAN,Pesanggrahan,ULUJAMI,50 - 120,239,60.0,0,120.0
201607,JAKARTA SELATAN,Tebet,BUKIT DURI,30 - 50,0,0.0,0,50.0
201607,JAKARTA SELATAN,Kebayoran Baru,PETOGOGAN,20 - 50,0,0.0,0,50.0
201607,JAKARTA TIMUR,Cipayung,BAMBU APUS,20,0,0.0,0,20.0
201607,JAKARTA TIMUR,Ciracas,CIRACAS,20 - 40,0,0.0,0,40.0
201607,JAKARTA TIMUR,Ciracas,KELAPA DUA WETAN,30 - 50,2217,0.0,0,50.0
201607,JAKARTA TIMUR,Ciracas,RAMBUTAN,30 - 150,550,0.0,0,150.0
201607,JAKARTA TIMUR,Makasar,CIPINANG MELAYU,20 - 80,150,14.0,0,80.0
201607,JAKARTA TIMUR,Makasar,HALIM PERDANA KUSUMA,10 - 50,0,0.0,0,50.0
201607,JAKARTA TIMUR,Pasar Rebo,BARU,50 - 160,0,0.0,0,160.0
201607,JAKARTA TIMUR,Pasar Rebo,CIJANTUNG,20 - 70,0,0.0,0,70.0
201607,JAKARTA TIMUR,Pasar Rebo,KALISARI,40 - 100,0,0.0,0,100.0
201607,JAKARTA TIMUR,Pasar Rebo,PEKAYON,30 - 50,0,0.0,0,50.0
201609,JAKARTA BARAT,Cengkareng,RAWA BUAYA,60 -150,0,0.0,0,150.0
201609,JAKARTA BARAT,Kebon Jeruk,KEDOYA SELATAN,10 - 40,0,0.0,0,40.0
201609,JAKARTA BARAT,Kebon Jeruk,KEDOYA UTARA,10 - 40,0,0.0,0,40.0
201609,JAKARTA BARAT,Kembangan,KEMBANGAN SELATAN,10 - 20,0,0.0,0,20.0
201609,JAKARTA BARAT,Kembangan,KEMBANGAN UTARA,20 - 60,0,0.0,0,60.0
201609,JAKARTA SELATAN,Pasar Minggu,CILANDAK TIMUR,20 - 60,0,0.0,0,60.0
201609,JAKARTA SELATAN,Pasar Minggu,PASAR MINGGU,10 - 40,0,0.0,0,40.0
201609,JAKARTA SELATAN,Kebayoran Baru,CIPETE UTARA,10 - 100,829,0.0,0,100.0
201609,JAKARTA SELATAN,Kebayoran Baru,PETOGOGAN,5 - 70,7362,0.0,0,70.0
201601,JAKARTA SELATAN,Kebayoran Baru,CIPETE UTARA,30 - 40,0,0.0,0,40.0
201601,JAKARTA SELATAN,Kebayoran Baru,PETOGOGAN,20 - 60,1685,0.0,0,60.0
201601,JAKARTA SELATAN,Kebayoran Baru,RAWA BARAT,15 - 20,0,0.0,0,20.0
201601,JAKARTA SELATAN,Kebayoran Lama,CIPULIR,10 - 80,0,0.0,0,80.0
201601,JAKARTA SELATAN,Kebayoran Lama,PONDOK PINANG,20 - 25,0,0.0,0,25.0
201601,JAKARTA SELATAN,Pancoran,RAWAJATI,10 - 20,0,0.0,0,20.0
201601,JAKARTA SELATAN,Pasar Minggu,PEJATEN TIMUR,10 - 15,0,0.0,0,15.0
201601,JAKARTA SELATAN,Pesanggrahan,ULUJAMI,10 - 40,152,0.0,0,40.0
201601,JAKARTA SELATAN,Tebet,BUKIT DURI,10 - 15,378,0.0,0,15.0
201601,JAKARTA SELATAN,Tebet,KEBON BARU,10 - 20,0,0.0,0,20.0
201601,JAKARTA TIMUR,Jatinegara,BIDARA CINA,10 - 20,0,0.0,0,20.0
201601,JAKARTA TIMUR,Jatinegara,KAMPUNG MELAYU,40 - 70,1636,0.0,0,70.0
201601,JAKARTA TIMUR,Kramat Jati,CAWANG,10 - 20,0,0.0,0,20.0
201602,JAKARTA BARAT,Cengkareng,CENGKARENG BARAT,40 - 80,21711,243.0,0,80.0
201602,JAKARTA BARAT,Cengkareng,CENGKARENG TIMUR,10 - 100,0,0.0,0,100.0
201602,JAKARTA BARAT,Cengkareng,DURI KOSAMBI,30 - 100,1019,150.0,0,100.0
201602,JAKARTA BARAT,Cengkareng,KAPUK,5 - 30,0,0.0,0,30.0
201602,JAKARTA BARAT,Cengkareng,KEDAUNG KALI ANGKE,10 - 50,1225,50.0,0,50.0
201602,JAKARTA BARAT,Cengkareng,RAWA BUAYA,30 - 100,443,443.0,0,100.0
201602,JAKARTA BARAT,Grogol Petamburan,WIJAYA KESUMA,30 - 50,0,0.0,0,50.0
201602,JAKARTA BARAT,Kalideres,KALIDERES,20 - 60,0,0.0,0,60.0
201602,JAKARTA BARAT,Kalideres,KAMAL,25 - 30,500,0.0,0,30.0
201602,JAKARTA BARAT,Kalideres,PEGADUNGAN,20 - 30,0,0.0,0,30.0
201602,JAKARTA BARAT,Kalideres,TEGAL ALUR,80 - 100,280,69.0,0,100.0
201602,JAKARTA BARAT,Kebon Jeruk,KEDOYA UTARA,20 - 40,0,0.0,0,40.0
201602,JAKARTA BARAT,Kebon Jeruk,KELAPA DUA,10 - 30,0,0.0,0,30.0
201602,JAKARTA BARAT,Kembangan,JOGLO,5 - 30,0,0.0,0,30.0
201602,JAKARTA BARAT,Kembangan,KEMBANGAN UTARA,20 - 70,40,40.0,0,70.0
201602,JAKARTA BARAT,Kembangan,MERUYA UTARA,15 - 25,0,0.0,0,25.0
201602,JAKARTA BARAT,Kembangan,SRENGSENG,15 - 30,0,0.0,0,30.0
201602,JAKARTA SELATAN,Cilandak,CILANDAK BARAT,40 - 70,0,0.0,0,70.0
201602,JAKARTA SELATAN,Cilandak,LEBAK BULUS,20 - 40,0,0.0,0,40.0
