subdistrict,flood_incidents,max_water_height_cm,total_evacuees
Cakung,9,70.0,0
Cempaka Putih,2,22.0,0
Cengkareng,11,50.0,0
Cilandak,9,160.0,0
Cilincing,6,30.0,0
Cipayung,1,21.0,0
Ciracas,9,80.0,0
Duren Sawit,6,30.0,0
Grogol Petamburan,4,30.0,0
Jagakarsa,1,20.0,0
Jatinegara,18,120.0,0
Kali Deres,3,23.0,0
Kalideres,1,30.0,0
Kebayoran Baru,8,80.0,0
Kebayoran Lama,13,100.0,0
Kebon Jeruk,8,120.0,0
Kec. Cakung,1,40.0,0
Kec. Cengkareng,2,40.0,0
Kec. Cilandak,3,120.0,0
Kec. Ciracas,4,40.0,0
Kec. Jagakarsa,2,30.0,0
Kec. Jatinegara,3,110.0,0
Kec. Kebayoran Baru,2,70.0,0
Kec. Kebayoran Lama,1,40.0,0
Kec. Kebon Jeruk,2,70.0,1
Kec. Kembangan,4,80.0,1
Kec. Kramat Jati,1,60.0,0
Kec. Makasar,2,45.0,0
Kec. Mampang Prapatan,2,80.0,0
Kec. Palmerah,1,30.0,0
Kec. Pancoran,1,100.0,0
Kec. Pasar Minggu,5,105.0,0
Kec. Pasar Rebo,1,60.0,0
Kec.Cilandak,1,80.0,0
Kec.Kebayoran Baru,2,50.0,0
Kec.Kebayoran Lama,2,50.0,0
Kec.Kembangan,1,15.0,0
Kemayoran,2,22.0,0
Kembangan,6,70.0,0
Kepulauan Seribu Selatan,1,20.0,0
Koja,2,22.0,0
Kramat Jati,12,120.0,0
Makasar,12,200.0,4
Makassar,1,30.0,0
Mampang Prapatan,5,100.0,0
Matraman,1,22.0,0
Pademangan,1,15.0,0
Pancoran,9,100.0,0
Pasar Minggu,19,120.0,17
Pasar Rebo,6,90.0,0
Penjaringan,10,50.0,0
Pesanggrahan,7,150.0,8
Pulo Gadung,1,22.0,0
Setiabudi,2,60.0,0
Taman Sari,1,21.0,0
Tanah Abang,1,21.0,0
Tanjung Priok,3,30.0,0
Tebet,10,40.0,0
