month,city_admin,subdistrict,ward,water_height_cm,people_affected,max_evacuees,deaths,data_period,max_water_cm
1,JAKARTA UTARA,Penjaringan,KAMAL MUARA,20 S/D 30,0,0,0,201806,30.0
1,JAKARTA BARAT,Kalideres,KAMAL,10 S/D 25,0,0,0,201806,25.0
1,JAKARTA BARAT,Grogol Petamburan,JELAMBAR BARU,15,0,0,0,201806,15.0
1,JAKARTA BARAT,Grogol Petamburan,JELAMBAR,20,0,0,0,201806,20.0
1,JAKARTA BARAT,Kembangan,KEMBANGAN UTARA,5 S/D 20,0,0,0,201806,20.0
1,JAKARTA BARAT,Cengkareng,KAPUK,5 S/D 30,0,0,0,201806,30.0
1,JAKARTA BARAT,Cengkareng,RAWA BUAYA,15 S/D 20,0,0,0,201806,20.0
1,JAKARTA BARAT,Cengkareng,CENGKARENG TIMUR,10 S/D 40,0,0,0,201806,40.0
2,JAKARTA PUSAT,Cempaka Putih,CEMPAKA PUTIH TIMUR,10 S/D 35,0,0,0,201806,35.0
2,JAKARTA PUSAT,Kemayoran,SERDANG,10 S/D 50,0,0,0,201806,50.0
2,JAKARTA UTARA,Penjaringan,KAMAL MUARA,5 S/D 10,0,0,0,201806,10.0
2,JAKARTA UTARA,Penjaringan,PENJARINGAN,10 S/D 35,0,0,0,201806,35.0
2,JAKARTA UTARA,Penjaringan,KAPUK MUARA,5 S/D 15,0,0,0,201806,15.0
2,JAKARTA UTARA,Cilincing,SUKAPURA,10 S/D 50,30,30,0,201806,50.0
2,JAKARTA UTARA,Kelapa Gading,PEGANGSAAN DUA,60 S/D 70,100,100,0,201806,70.0
2,JAKARTA UTARA,Koja,TUGU SELATAN,40,140,140,0,201806,40.0
2,JAKARTA BARAT,Kalideres,TEGAL ALUR,20 S/D 30,0,0,0,201806,30.0
2,JAKARTA BARAT,Kalideres,KAMAL,30 S/D 50,0,0,0,201806,50.0
2,JAKARTA BARAT,Cengkareng,KAPUK,5 S/D 60,0,0,0,201806,60.0
2,JAKARTA BARAT,Cengkareng,RAWA BUAYA,5 S/D 30,0,0,0,201806,30.0
2,JAKARTA BARAT,Cengkareng,DURI KOSAMBI,10 S/D 50,0,0,0,201806,50.0
2,JAKARTA BARAT,Cengkareng,CENGKARENG BARAT,10 S/D 80,0,0,0,201806,80.0
2,JAKARTA BARAT,Cengkareng,CENGKARENG TIMUR,10 S/D 80,0,0,0,201806,80.0
2,JAKARTA BARAT,Kembangan,KEMBANGAN UTARA,15 S/D 30,0,0,0,201806,30.0
2,JAKARTA BARAT,Kebon Jeruk,DURI KEPA,15 S/D 60,0,0,0,201806,60.0
2,JAKARTA BARAT,Grogol Petamburan,WIJAYA KUSUMA,10 S/D 50,0,0,0,201806,50.0
2,JAKARTA BARAT,Grogol Petamburan,JELAMBAR BARU,10 S/D 30,0,0,0,201806,30.0
2,JAKARTA BARAT,Palmerah,JATI PULO,30 S/D 50,0,0,0,201806,50.0
2,JAKARTA SELATAN,Cilandak,PONDOK LABU,40 S/D 50,480,0,0,201806,50.0
2,JAKARTA SELATAN,Pancoran,PANGADEGAN,10 S/D 300,2993,3200,0,201806,300.0
2,JAKARTA SELATAN,Pancoran,RAWA JATI,10 S/D 250,159,208,0,201806,250.0
2,JAKARTA SELATAN,Pasar Minggu,PEJATEN TIMUR,30 S/D 200,962,1811,0,201806,200.0
2,JAKARTA SELATAN,Tebet,KEBON BARU,20 S/D 80,0,1278,0,201806,80.0
2,JAKARTA SELATAN,Tebet,MANGGARAI,30 S/D 200,2347,2119,0,201806,200.0
2,JAKARTA SELATAN,Tebet,BUKIT DURI,10 S/D 40,0,0,0,201806,40.0
2,JAKARTA SELATAN,Jagakarsa,LENTENG AGUNG,50 S/D 200,0,0,0,201806,200.0
2,JAKARTA SELATAN,Jagakarsa,SRENGSENG SAWAH,100 S/D 300,265,0,0,201806,300.0
2,JAKARTA SELATAN,Mampang Prapatan,BANGKA,30 S/D 40,0,0,0,201806,40.0
2,JAKARTA TIMUR,Cakung,RAWA TERATE,10 S/D 120,0,0,0,201806,120.0
2,JAKARTA TIMUR,Cakung,CAKUNG BARAT,30 S/D 70,56,46,1,201806,70.0
2,JAKARTA TIMUR,Cakung,JATINEGARA,10 S/D 30,KOSONG,0,0,201806,30.0
2,JAKARTA TIMUR,Jatinegara,KAMPUNG MELAYU,10 S/D 220,374,1392,0,201806,220.0
2,JAKARTA TIMUR,Jatinegara,BIDARA CINA,10 S/D 250,2642,553,0,201806,250.0
2,JAKARTA TIMUR,Jatinegara,CIPINANG MUARA,10 S/D 120,0,0,0,201806,120.0
2,JAKARTA TIMUR,Makasar,CIPINANG MELAYU,20 S/D 90,0,0,0,201806,90.0
2,JAKARTA TIMUR,Makasar,MAKASAR,20 S/D 50,0,0,0,201806,50.0
2,JAKARTA TIMUR,Kramat Jati,CAWANG,20 S/D 270,3584,557,0,201806,270.0
2,JAKARTA TIMUR,Kramat Jati,CILILITAN,30 S/D 250,86,350,0,201806,250.0
2,JAKARTA TIMUR,Kramat Jati,BALE KAMBANG,60 S/D 300,54,1560,0,201806,300.0
2,JAKARTA TIMUR,Pasar Rebo,GEDONG,50 S/D 150,0,0,0,201806,150.0
2,JAKARTA TIMUR,Matraman,KEBON MANGGIS,20 S/D 80,414,414,0,201806,80.0
3,JAKARTA SELATAN,Pancoran,RAWAJATI,30 - 80,0,0,0,201806,80.0
3,JAKARTA SELATAN,Pasar Minggu,PEJATEN TIMUR,OCT-50,0,0,0,201806,50.0
3,JAKARTA SELATAN,Tebet,KEBON BARU,30,0,0,0,201806,30.0
3,JAKARTA TIMUR,Jatinegara,BIDARA CINA,OCT-50,0,0,0,201806,50.0
3,JAKARTA TIMUR,Jatinegara,KAMPUNG MELAYU,10 - 100,1000,0,0,201806,100.0
3,JAKARTA TIMUR,Kramat Jati,CAWANG,OCT-50,0,0,0,201806,50.0
3,JAKARTA TIMUR,Kramat Jati,CILILITAN,50 - 100,0,0,0,201806,100.0
3,JAKARTA TIMUR,Makasar,CIPINANG MELAYU,10,0,0,0,201806,10.0
4,JAKARTA SELATAN,Pesanggrahan,ULUJAMI,20 - 30,0,0,0,201806,30.0
4,JAKARTA TIMUR,Cakung,JATINEGARA,50 - 90,0,0,0,201806,90.0
4,JAKARTA TIMUR,Cakung,PENGGILINGAN,20 - 30,0,0,0,201806,30.0
4,JAKARTA TIMUR,Makasar,CIPINANG MELAYU,10-MAY,0,0,0,201806,10.0
4,JAKARTA TIMUR,Pulogadung,RAWAMANGUN,20 - 50,0,0,0,201806,50.0
4,JAKARTA TIMUR,Jatinegara,KAMPUNG MELAYU,MAY-60,988,0,0,201806,60.0
4,JAKARTA TIMUR,Jatinegara,BIDARA CINA,OCT-35,0,0,0,201806,35.0
4,JAKARTA TIMUR,Kramat Jati,CAWANG,OCT-60,0,0,0,201806,60.0
5,JAKARTA BARAT,Kalideres,KAMAL,20,0,0,0,201806,20.0
