waterway,name,geometry_wkt
river,Kali Cipinang,"MULTILINESTRING ((106.874552 -6.361472, 106.874558 -6.361456, 106.874419 -6.36139, 106.874209 -6.361349, 106.874061 -6.361314), (106.874045 -6.361305, 106.873962 -6.361244, 106.873874 -6.361025, 106.873767 -6.360885, 106.873562 -6.360973, 106.873393 -6.361051, 106.873284 -6.361094), (106.873207 -6.36109, 106.873124 -6.361059, 106.872988 -6.361069, 106.872574 -6.360929, 106.872071 -6.360525, 106.871587 -6.360078, 106.871531 -6.359895, 106.871527 -6.35981), (106.871846 -6.359324, 106.871939 -6.359233, 106.872079 -6.359089, 106.872301 -6.358855, 106.872309 -6.358844), (106.872313 -6.358839, 106.872346 -6.358793, 106.87236 -6.358605, 106.872193 -6.358566, 106.872124 -6.358528, 106.872073 -6.358404), (106.872013 -6.358182, 106.871989 -6.35809, 106.872011 -6.357896), (106.872024 -6.357847, 106.872333 -6.357809, 106.872458 -6.357778, 106.872492 -6.35775), (106.872876 -6.357621, 106.872979 -6.357606, 106.873029 -6.357572, 106.873066 -6.357501, 106.873072 -6.357357, 106.873073 -6.357299), (106.873094 -6.357226, 106.87314 -6.357165, 106.873296 -6.357053, 106.873375 -6.356953, 106.873425 -6.356844, 106.873444 -6.356795), (106.873581 -6.356696, 106.87369 -6.356639, 106.87375 -6.356622, 106.873809 -6.356582, 106.873916 -6.356494, 106.873925 -6.35645))"
river,Kali Cipinang,"MULTILINESTRING ((106.87996 -6.36451, 106.879854 -6.364609, 106.879795 -6.364633, 106.879717 -6.364633), (106.879704 -6.364632, 106.879649 -6.364622), (106.879427 -6.364533, 106.879312 -6.364462, 106.879225 -6.364328, 106.879233 -6.364269, 106.879182 -6.364207), (106.878811 -6.363901, 106.878773 -6.36389, 106.878564 -6.363961, 106.878497 -6.363977, 106.878419 -6.363977, 106.878333 -6.363956, 106.878306 -6.363928), (106.878016 -6.363181, 106.877989 -6.363027, 106.877984 -6.362954), (106.878093 -6.362676, 106.878156 -6.362617, 106.878241 -6.362565, 106.878477 -6.36261, 106.878624 -6.36256, 106.878711 -6.362496, 106.878784 -6.362351, 106.87887 -6.362288, 106.87887 -6.36218, 106.878863 -6.362083, 106.878811 -6.362036, 106.878682 -6.362042, 106.878638 -6.361992, 106.878641 -6.361922, 106.878706 -6.361888, 106.878744 -6.361852, 106.878821 -6.361854, 106.878853 -6.361846), (106.87888 -6.36184, 106.878884 -6.361839, 106.879004 -6.361803, 106.879065 -6.361724, 106.879062 -6.361654, 106.879051 -6.361632), (106.879022 -6.361558, 106.879004 -6.361501, 106.878965 -6.361477, 106.878963 -6.361476), (106.878858 -6.361351, 106.87886 -6.361333), (106.878913 -6.361267, 106.879002 -6.361241, 106.879001 -6.361237), (106.878724 -6.361071, 106.87872 -6.361072, 106.878711 -6.361075), (106.878622 -6.361102, 106.878587 -6.3611), (106.878288 -6.361073, 106.87827 -6.361076, 106.878264 -6.361083), (106.878195 -6.361166, 106.87812 -6.361256, 106.878048 -6.361331, 106.87797 -6.361364, 106.877682 -6.361314, 106.877532 -6.361301), (106.877423 -6.361309, 106.877395 -6.361314, 106.877355 -6.361422, 106.877299 -6.361504))"
river,Kali Cipinang,"LINESTRING (106.872181 -6.343338, 106.872186 -6.343157, 106.872259 -6.342792, 106.87242 -6.342349, 106.872495 -6.342194, 106.872532 -6.341994, 106.872484 -6.341946, 106.872221 -6.341826, 106.872135 -6.341773, 106.872111 -6.341707, 106.872111 -6.341157, 106.872109 -6.341099, 106.872058 -6.341038, 106.871924 -6.341011, 106.871698 -6.340976, 106.87146 -6.34095, 106.871414 -6.34088, 106.871462 -6.340739, 106.871553 -6.340584, 106.871647 -6.340462, 106.871741 -6.340403, 106.871913 -6.340443, 106.872106 -6.340491, 106.872275 -6.340488, 106.872367 -6.340446, 106.872455 -6.340351, 106.87248 -6.340296, 106.872471 -6.340216, 106.872396 -6.340112, 106.872334 -6.340036, 106.872205 -6.339978, 106.872118 -6.33991, 106.872096 -6.339831, 106.872122 -6.339689, 106.872241 -6.339639, 106.872595 -6.339673, 106.872774 -6.33965, 106.872956 -6.339535, 106.872956 -6.339369, 106.872989 -6.339205, 106.872991 -6.339042, 106.87303 -6.338914, 106.873123 -6.338854, 106.873167 -6.338819, 106.873223 -6.338778, 106.873441 -6.338619, 106.873487 -6.338448, 106.873499 -6.338289, 106.873463 -6.338187, 106.873459 -6.338109, 106.873492 -6.33804, 106.873606 -6.337928, 106.873788 -6.337802, 106.873958 -6.337727, 106.874055 -6.337662, 106.874235 -6.337405, 106.874547 -6.337246, 106.874574 -6.33716, 106.874549 -6.337067, 106.874438 -6.337042, 106.874356 -6.337047, 106.874298 -6.337064, 106.874217 -6.337064, 106.874182 -6.337029, 106.874143 -6.336948, 106.874118 -6.336838, 106.874113 -6.336722, 106.874146 -6.336644, 106.874387 -6.336339, 106.874407 -6.336258, 106.874377 -6.336066, 106.874366 -6.335996, 106.874415 -6.33583, 106.87444 -6.335802, 106.874587 -6.335812, 106.874688 -6.335845, 106.874803 -6.335875, 106.874909 -6.33583, 106.87494 -6.335762, 106.874848 -6.335565, 106.874848 -6.335515, 106.874866 -6.335333, 106.874866 -6.335258, 106.874843 -6.33519, 106.874813 -6.335147, 106.874851 -6.335061, 106.874879 -6.335036, 106.874924 -6.335021, 106.87497 -6.335026, 106.875175 -6.335132, 106.875284 -6.335132, 106.875348 -6.335106, 106.875627 -6.33459, 106.875781 -6.334383, 106.875837 -6.334335, 106.875967 -6.334197, 106.876062 -6.33414, 106.876235 -6.334175, 106.876514 -6.334197, 106.876593 -6.334194, 106.876684 -6.334025, 106.87673 -6.333877, 106.876765 -6.333758, 106.876828 -6.33366, 106.876884 -6.33361, 106.876955 -6.333542, 106.877062 -6.333489, 106.877183 -6.333406, 106.877282 -6.333337, 106.877379 -6.333249, 106.87744 -6.333148, 106.877488 -6.33302, 106.877531 -6.332954, 106.877614 -6.332854, 106.87766 -6.332753, 106.877685 -6.33269, 106.87765 -6.332619, 106.87763 -6.332466, 106.877625 -6.332337, 106.877632 -6.332219, 106.877652 -6.332148, 106.877731 -6.332123, 106.877881 -6.332052, 106.878086 -6.331946, 106.878142 -6.331898, 106.878218 -6.331836, 106.878264 -6.331765, 106.878271 -6.331694, 106.878272 -6.331573, 106.878263 -6.331433, 106.878261 -6.331324, 106.878294 -6.331211, 106.87838 -6.33115, 106.878489 -6.33108, 106.87858 -6.331027, 106.878684 -6.330996, 106.87887 -6.330984, 106.878986 -6.330926, 106.87909 -6.330868, 106.879252 -6.330858, 106.879318 -6.33088, 106.879379 -6.330996, 106.879407 -6.331142, 106.87943 -6.331226, 106.879445 -6.331299, 106.879552 -6.331314, 106.879645 -6.331306, 106.879754 -6.331271, 106.87995 -6.331231, 106.880074 -6.331208, 106.88017 -6.331168, 106.880239 -6.33112, 106.880264 -6.331085, 106.880327 -6.331034, 106.88036 -6.331024, 106.880472 -6.330991, 106.880596 -6.330996, 106.880672 -6.330996, 106.880751 -6.330969, 106.880829 -6.330916, 106.88089 -6.330838, 106.880837 -6.330692, 106.880758 -6.330566, 106.880601 -6.330417, 106.88054 -6.330349, 106.880502 -6.330273, 106.880507 -6.33019, 106.880535 -6.330117, 106.88066 -6.329925, 106.880718 -6.329857, 106.880784 -6.329807, 106.880829 -6.329759, 106.880855 -6.329699, 106.88086 -6.329615, 106.880898 -6.32951, 106.880926 -6.329368, 106.880936 -6.329275, 106.880903 -6.329212, 106.88085 -6.329192, 106.880764 -6.329176, 106.880658 -6.32907, 106.880673 -6.328768, 106.880399 -6.328314, 106.880267 -6.327981, 106.880209 -6.327839, 106.880151 -6.327568, 106.880196 -6.327467, 106.880232 -6.327362, 106.880217 -6.326742, 106.880176 -6.326394, 106.880222 -6.326187, 106.880237 -6.326071, 106.880237 -6.32585, 106.880125 -6.325703, 106.88009 -6.325588, 106.880171 -6.325479, 106.880303 -6.325406, 106.88045 -6.325383, 106.880716 -6.325504, 106.8808 -6.325648, 106.880924 -6.325683, 106.881112 -6.325711, 106.881269 -6.325643, 106.881472 -6.32555, 106.881705 -6.325472, 106.881715 -6.325378, 106.881657 -6.325242, 106.881682 -6.325126, 106.881725 -6.324988, 106.881672 -6.324741, 106.881682 -6.324534, 106.88152 -6.324438, 106.881444 -6.324348)"
river,Ciliwung,"GEOMETRYCOLLECTION (LINESTRING (106.835506 -6.352158, 106.835458 -6.35205, 106.835472 -6.351975, 106.835539 -6.351879, 106.835633 -6.351804, 106.835724 -6.351762, 106.83582 -6.351756, 106.836118 -6.351791, 106.837306 -6.351956, 106.838344 -6.352026, 106.838881 -6.351997, 106.839095 -6.351935, 106.839394 -6.351383), LINESTRING (106.839394 -6.351383, 106.839271 -6.350851), LINESTRING (106.838506 -6.349725, 106.83845 -6.349643, 106.838051 -6.3488, 106.83818 -6.348164), LINESTRING (106.83818 -6.348164, 106.838047 -6.347852, 106.837843 -6.347349), LINESTRING (106.837933 -6.346835, 106.838068 -6.346679, 106.83842 -6.346636), LINESTRING (106.839031 -6.346364, 106.839243 -6.346186, 106.839723 -6.345075), LINESTRING (106.837141 -6.341799, 106.837403 -6.341582, 106.837656 -6.34153), LINESTRING (106.83976 -6.335146, 106.839751 -6.335118, 106.839712 -6.334967, 106.839721 -6.334757, 106.839756 -6.334522, 106.839792 -6.334196, 106.83982 -6.333784, 106.83985 -6.333179, 106.839936 -6.332624, 106.840086 -6.33224, 106.840344 -6.332083, 106.840674 -6.332179, 106.841034 -6.332188, 106.841545 -6.332219, 106.841888 -6.332155, 106.842103 -6.332155, 106.842585 -6.3321, 106.843455 -6.331771, 106.843477 -6.331515, 106.843326 -6.331323, 106.842726 -6.331067, 106.842232 -6.331046, 106.84191 -6.331003, 106.841438 -6.330449, 106.841224 -6.330321, 106.840516 -6.329766, 106.840322 -6.32934, 106.840317 -6.32906, 106.840448 -6.328721, 106.84077 -6.328009, 106.841078 -6.32726, 106.841178 -6.327012, 106.84127 -6.326775, 106.841363 -6.326623, 106.841486 -6.326501, 106.841604 -6.326655, 106.841641 -6.326805, 106.841756 -6.327204, 106.841859 -6.327392, 106.841997 -6.327551, 106.84218 -6.327594, 106.84248 -6.32753, 106.842765 -6.327346, 106.842984 -6.327047, 106.843148 -6.326738, 106.843221 -6.326375, 106.843159 -6.326056, 106.842923 -6.32548, 106.841614 -6.323646, 106.841399 -6.323411, 106.841134 -6.323235, 106.840533 -6.322992, 106.840176 -6.322832, 106.840045 -6.322612, 106.839999 -6.322408, 106.840045 -6.322169, 106.840112 -6.321966, 106.840686 -6.321811, 106.840992 -6.32162, 106.841045 -6.321452, 106.840959 -6.3213, 106.840841 -6.321148, 106.840608 -6.321161, 106.839583 -6.321587, 106.839237 -6.321649, 106.838884 -6.321574, 106.838567 -6.321385, 106.838374 -6.321044, 106.838332 -6.320783, 106.838368 -6.320564, 106.838684 -6.320036, 106.839002 -6.319563, 106.839451 -6.319088, 106.839747 -6.318847, 106.84009 -6.318548, 106.840457 -6.318388, 106.8409 -6.318228, 106.841927 -6.31799, 106.842429 -6.317931, 106.842856 -6.317991, 106.843078 -6.318209, 106.843223 -6.31842, 106.843545 -6.318484, 106.84406 -6.318207, 106.844103 -6.31778, 106.844146 -6.317098, 106.844189 -6.316863, 106.844342 -6.316568, 106.844608 -6.316448, 106.844953 -6.316456, 106.845367 -6.316645, 106.845688 -6.316863, 106.846056 -6.316976, 106.846493 -6.316714, 106.84697 -6.31588, 106.8473 -6.315507, 106.847704 -6.315243, 106.847984 -6.315093, 106.848347 -6.314995, 106.848593 -6.315061, 106.848796 -6.315219, 106.848915 -6.315357, 106.848975 -6.315514, 106.849006 -6.315616, 106.849014 -6.31572, 106.848991 -6.315925, 106.848887 -6.316189, 106.848704 -6.316618, 106.848498 -6.317149, 106.848326 -6.317418, 106.847811 -6.317652, 106.847103 -6.317652, 106.846914 -6.317908, 106.847087 -6.31814, 106.847334 -6.318204, 106.84771 -6.318192, 106.84805 -6.318188, 106.848244 -6.31824, 106.8485 -6.318343, 106.848897 -6.318644, 106.849144 -6.318692), POINT (106.835898 -6.354197), POINT (106.835883 -6.353638), POINT (106.840873 -6.342236))"
canal,Kali Baru Barat,"LINESTRING (106.819234 -6.34179, 106.819642 -6.341246, 106.820488 -6.340268, 106.820653 -6.340044, 106.82144 -6.339393, 106.82379 -6.337716, 106.824366 -6.337297, 106.824635 -6.337079, 106.824899 -6.336901, 106.824983 -6.336877, 106.825371 -6.336994, 106.825401 -6.337021, 106.825385 -6.33716, 106.825407 -6.337224, 106.825503 -6.337299, 106.825678 -6.337381, 106.825798 -6.337384, 106.825951 -6.337346, 106.825988 -6.337362, 106.826117 -6.337549, 106.826288 -6.337588, 106.826393 -6.337546, 106.826525 -6.337428, 106.826673 -6.337304, 106.82675 -6.337267, 106.826923 -6.337256, 106.827123 -6.33725, 106.827169 -6.337208, 106.827177 -6.337161, 106.827184 -6.33712, 106.827265 -6.337021, 106.827685 -6.336768, 106.828244 -6.3362, 106.828488 -6.336101, 106.82852 -6.336045, 106.828501 -6.335952, 106.828765 -6.335944, 106.828868 -6.335998, 106.828977 -6.336104, 106.829091 -6.336264, 106.829219 -6.336497, 106.829312 -6.336667, 106.829312 -6.336684, 106.829311 -6.336714, 106.829272 -6.336791, 106.829106 -6.336884, 106.829054 -6.336956, 106.829099 -6.337114, 106.829277 -6.337368, 106.829326 -6.337475, 106.829429 -6.337582, 106.829533 -6.337646, 106.829659 -6.337663, 106.830032 -6.337634, 106.830139 -6.337657, 106.830289 -6.337645, 106.830878 -6.337351, 106.830993 -6.337253, 106.831387 -6.337186, 106.831619 -6.337035)"
canal,Kali Baru Barat,"LINESTRING (106.831619 -6.337035, 106.832122 -6.336802, 106.832424 -6.336703, 106.833294 -6.336623, 106.833444 -6.336642, 106.833794 -6.336745, 106.833913 -6.336754, 106.833935 -6.336738, 106.833977 -6.33629, 106.833921 -6.335692, 106.833937 -6.33553, 106.834334 -6.334315, 106.834688 -6.333552, 106.834798 -6.332609, 106.834956 -6.33216)"
canal,Kali Baru Barat,"LINESTRING (106.834956 -6.33216, 106.835002 -6.331918)"
river,Kalibaru,"LINESTRING (106.859888 -6.353589, 106.859995 -6.35341, 106.860105 -6.353228, 106.860167 -6.353006, 106.860306 -6.35286, 106.860648 -6.352674, 106.861062 -6.352513, 106.861254 -6.352459, 106.861873 -6.352135, 106.862502 -6.351816, 106.863375 -6.351378, 106.863934 -6.351066, 106.864404 -6.350705, 106.864895 -6.350208, 106.865401 -6.349566)"
river,Kali Cipinang,"MULTILINESTRING ((106.874228 -6.356133, 106.874278 -6.35611, 106.874287 -6.356092), (106.874305 -6.356057, 106.874311 -6.356046, 106.874294 -6.355986), (106.874285 -6.355953, 106.874284 -6.35595, 106.874278 -6.355944), (106.874129 -6.355819, 106.874053 -6.355768, 106.873935 -6.355774), (106.873754 -6.355776, 106.873727 -6.355775), (106.873415 -6.355684, 106.873305 -6.355622), (106.873287 -6.355603, 106.87325 -6.355558), (106.873142 -6.355078, 106.873141 -6.355001, 106.873121 -6.354992), (106.872828 -6.354958, 106.872813 -6.354962, 106.872713 -6.355013, 106.872685 -6.355049), (106.872617 -6.355125, 106.872587 -6.355145, 106.872582 -6.355143), (106.872486 -6.355056, 106.872408 -6.354966), (106.87239 -6.354923, 106.872388 -6.354885), (106.872389 -6.354876, 106.872397 -6.354833, 106.872413 -6.354765), (106.87248 -6.354556, 106.872481 -6.354553, 106.87248 -6.354549), (106.872363 -6.354396, 106.872282 -6.354325, 106.872235 -6.35429), (106.872102 -6.353979, 106.872088 -6.353866, 106.872068 -6.353776, 106.872016 -6.353746, 106.871954 -6.353747), (106.871566 -6.353748, 106.871376 -6.353753, 106.87124 -6.35373, 106.871139 -6.353633, 106.871098 -6.35357), (106.871085 -6.35353, 106.871073 -6.353415, 106.871084 -6.353337, 106.871131 -6.353294), (106.871211 -6.353289, 106.871234 -6.353311, 106.871298 -6.353332, 106.871395 -6.353321, 106.871443 -6.353314), (106.871463 -6.353311, 106.871465 -6.353311, 106.871467 -6.353309), (106.871529 -6.353194, 106.871529 -6.353191, 106.871526 -6.353188), (106.87141 -6.352972, 106.871384 -6.352924, 106.871261 -6.352818, 106.871054 -6.352703, 106.871039 -6.352701), (106.870276 -6.352837, 106.870236 -6.35285, 106.870196 -6.352767, 106.870212 -6.352668, 106.870199 -6.352551, 106.870132 -6.352436, 106.869999 -6.352298, 106.869956 -6.352256, 106.869807 -6.352146, 106.869761 -6.352091, 106.869734 -6.352032, 106.869734 -6.351968, 106.869748 -6.351914, 106.869787 -6.351823, 106.86979 -6.351751, 106.869815 -6.351575, 106.869795 -6.351497, 106.869754 -6.351486, 106.869711 -6.351504, 106.869689 -6.351555, 106.86967 -6.351591, 106.86963 -6.351611, 106.869542 -6.351616, 106.869379 -6.351602, 106.869311 -6.351585, 106.869291 -6.35151, 106.869282 -6.351362, 106.869256 -6.351281, 106.869205 -6.351217, 106.869047 -6.351217, 106.86889 -6.351241, 106.868679 -6.351214, 106.868587 -6.351123, 106.868555 -6.351032, 106.86856 -6.350916, 106.868618 -6.350768, 106.868655 -6.350678, 106.868651 -6.350529, 106.868691 -6.35043, 106.868788 -6.350301, 106.868828 -6.350181, 106.868824 -6.350112, 106.868854 -6.350045, 106.868903 -6.350001, 106.868966 -6.349957, 106.869067 -6.349929, 106.869149 -6.349937, 106.869214 -6.349969, 106.869271 -6.35001, 106.869316 -6.350013, 106.869351 -6.349994, 106.869373 -6.349937, 106.869383 -6.349906, 106.869403 -6.349838, 106.869409 -6.349775, 106.869413 -6.349705, 106.869409 -6.349637, 106.869397 -6.349575, 106.869331 -6.349494, 106.869292 -6.349462, 106.869234 -6.349427, 106.869086 -6.349332, 106.86906 -6.349232, 106.869088 -6.349108, 106.869064 -6.349018, 106.869031 -6.348955, 106.868994 -6.348907, 106.868889 -6.348819, 106.868815 -6.348723, 106.868768 -6.348607, 106.868769 -6.348542, 106.868781 -6.348482, 106.868814 -6.348443, 106.86889 -6.348422, 106.86897 -6.348456, 106.869067 -6.348495, 106.869184 -6.34845, 106.869268 -6.348398, 106.869308 -6.348334, 106.869392 -6.348262, 106.86959 -6.348134, 106.869692 -6.348062, 106.869754 -6.348078, 106.869826 -6.34816, 106.86988 -6.348184, 106.86989 -6.348078, 106.86988 -6.347939, 106.86985 -6.347846, 106.869869 -6.347697, 106.869877 -6.347483, 106.869845 -6.347337, 106.86976 -6.347249, 106.869702 -6.347167, 106.869687 -6.347121, 106.869695 -6.347075, 106.869751 -6.347036, 106.869861 -6.347012, 106.869968 -6.347033, 106.870169 -6.347046, 106.870298 -6.34706, 106.870419 -6.347028, 106.870475 -6.34694, 106.870518 -6.346793, 106.870513 -6.346686, 106.870438 -6.346612, 106.870344 -6.346526, 106.87032 -6.346374, 106.8704 -6.346302, 106.870569 -6.346244, 106.870636 -6.346257, 106.870741 -6.346257, 106.870993 -6.346094, 106.871076 -6.34602, 106.871213 -6.345993, 106.871317 -6.345956, 106.871427 -6.345764, 106.871398 -6.345697, 106.871425 -6.345647, 106.871513 -6.345697, 106.871655 -6.345799, 106.871763 -6.345815, 106.871854 -6.34574))"
river,Kali Cipinang,"LINESTRING (106.871854 -6.34574, 106.872012 -6.345513, 106.872125 -6.34534, 106.872739 -6.344722, 106.872819 -6.344548, 106.872827 -6.344386, 106.872884 -6.34429, 106.873259 -6.343749, 106.873267 -6.343631, 106.87324 -6.343533, 106.87305 -6.343466, 106.872943 -6.343439, 106.872776 -6.343527, 106.872613 -6.343631, 106.872522 -6.343647, 106.87243 -6.343605, 106.87227 -6.343453, 106.872181 -6.343338)"
