name,mean_elevation,hazard_index,flood_incidents,max_water_height_cm,total_evacuees,flood_evidence_score,composite_score,risk_level,population
Jatinegara,18.15081177778205,2.3,16.0,250.0,1945.0,1.0,0.880083223054524,Extreme,255947.1142168045
Cengkareng,4.768650218570151,1.7666666666666668,12.0,80.0,0.0,0.5787037037037039,0.7710235908437182,Very High,482582.39550707693
Penjaringan,3.0210919252809343,1.8,9.0,35.0,0.0,0.5034722222222223,0.7466741563528102,Very High,397438.18311001663
Kalideres,4.829709428575528,1.5999999999999999,6.0,50.0,0.0,0.29861111111111116,0.6305137734263153,Very High,477328.8563884647
Cakung,7.9294889000848565,1.4,9.0,120.0,46.0,0.2812500000000001,0.5983017431646499,High,546347.3557936461
Cilincing,2.884278433524068,1.5999999999999999,1.0,50.0,30.0,0.1423611111111112,0.567157198300826,High,350450.4880794269
Kembangan,10.360540833826247,1.6800000000000002,3.0,50.0,0.0,0.2493055555555558,0.5638745832238357,High,529683.5702837259
Grogol Petamburan,5.743867730641365,1.4666666666666668,4.0,50.0,0.0,0.16203703703703726,0.5552870514342166,High,222011.2354221344
Koja,3.2079128494876312,1.5333333333333332,1.0,40.0,140.0,0.10532407407407417,0.546181861436593,High,235172.55949401855
Kelapa Gading,4.948309887311098,1.4666666666666668,1.0,70.0,100.0,0.06828703703703727,0.5144514001813255,High,316862.2682609362
Pancoran,25.394743512112807,1.5499999999999998,9.0,300.0,3408.0,0.36458333333333337,0.5073837531110139,High,155485.79093170166
Kosambi,2.3542852911256973,1.4,0.0,0.0,0.0,1.233581138472396e-16,0.5000000000000001,High,3191.1439735889435
Pademangan,3.1296256055544895,1.3999999999999997,0.0,0.0,0.0,0.0,0.4941141293549103,High,157683.99574605183
Kemayoran,5.766815075489046,1.4,1.0,50.0,0.0,0.031250000000000125,0.4897193318572619,High,182951.3038406372
Kebon Jeruk,10.257270065648257,1.52,1.0,60.0,0.0,0.09791666666666685,0.48896410211987923,High,432259.59141921997
Tanjung Priok,3.9090470493743066,1.3999999999999997,0.0,0.0,0.0,0.0,0.4881972774758586,High,407953.6864720583
Benda,4.617737152841356,1.4,0.0,0.0,0.0,1.233581138472396e-16,0.4828173711317196,High,3111.2435665130615
Mampang Prapatan,21.979538635843934,1.7,3.0,150.0,60.0,0.2604166666666668,0.4812263954481284,High,140505.57224082947
Sawah Besar,7.089247237637898,1.4,1.0,40.0,0.0,0.031250000000000125,0.4796803019003986,High,125773.1136341095
Tambora,5.4379725880979555,1.4,0.0,0.0,0.0,1.233581138472396e-16,0.4765906864352119,High,134830.24432086945
Kramat Jati,30.37379555587421,1.4,12.0,300.0,2467.0,0.3750000000000001,0.4747944178343518,High,275577.6044578552
Cempaka Putih,8.227902048580095,1.4,1.0,35.0,0.0,0.031250000000000125,0.47103638799331343,High,123894.40880012512
Taman Sari,6.298930129380984,1.4,0.0,0.0,0.0,1.233581138472396e-16,0.4700548664544855,High,102311.02283859253
Pulo Gadung,10.47521352276661,1.5,0.0,0.0,0.0,0.05555555555555572,0.46612906404526705,High,331773.6398779154
Gambir,6.961014945085357,1.4,0.0,0.0,0.0,1.233581138472396e-16,0.4650287566175619,High,148967.60653348872
Batuceper,7.502006101608276,1.4,0.0,0.0,0.0,1.233581138472396e-16,0.460921909716692,High,929.5722923278809
PT. PLN Area Cengkareng,7.832029342651367,1.4,0.0,0.0,0.0,1.233581138472396e-16,0.4584165916382893,High,218.61358642578125
Tebet,18.148594987209357,1.3999999999999997,5.0,200.0,3397.0,0.15625,0.45822505146176057,High,181614.23130607605
Cipondoh,7.987862278433407,1.4,0.0,0.0,0.0,1.233581138472396e-16,0.45723361110033883,High,5378.390911102295
Johar Baru,8.18911235332489,1.4,0.0,0.0,0.0,1.233581138472396e-16,0.4557058536935818,High,70658.8334312439
Palmerah,10.72648065771178,1.4,1.0,50.0,0.0,0.031250000000000125,0.4520688324357623,High,191311.14874649048
Senen,9.62364424312599,1.4,0.0,0.0,0.0,1.233581138472396e-16,0.4448158367777894,High,116017.40809822083
Matraman,12.833915809367566,1.4,1.0,80.0,414.0,0.031250000000000125,0.43607057919815106,High,136377.6689567566
Menteng,10.81496346860178,1.4,0.0,0.0,0.0,1.233581138472396e-16,0.43577212948220684,High,164006.13495635986
Karang Tengah,11.788120220447409,1.4,0.0,0.0,0.0,1.233581138472396e-16,0.42838456733412106,High,4379.224853515625
Tanah Abang,12.381906920249305,1.4,0.0,0.0,0.0,1.233581138472396e-16,0.42387693160208323,High,180584.87350229267
Makasar,25.44308516826826,1.4,6.0,90.0,0.0,0.1875000000000001,0.41847510857720255,High,230320.87954232638
Setiabudi,16.01941370365152,1.4,0.0,0.0,0.0,1.233581138472396e-16,0.3962633869439355,Moderate,120895.89009094238
Kebayoran Baru,22.42219574607839,1.4,3.0,40.0,0.0,0.09375000000000012,0.3945327022283254,Moderate,201403.51696777344
Pasar Minggu,37.01707128669652,1.3999999999999997,10.0,200.0,1820.0,0.3125,0.3931130641647174,Moderate,335083.2948257923
Kebayoran Lama,24.84194307634094,1.4,4.0,80.0,0.0,0.1250000000000001,0.39178858157938934,Moderate,331761.3961763382
Duren Sawit,17.100310623301247,1.4,0.0,0.0,0.0,1.233581138472396e-16,0.388057932730683,Moderate,507183.59164607525
Pesanggrahan,24.407931812873066,1.4,3.0,70.0,0.0,0.09375000000000012,0.3794583079179337,Moderate,239536.2406015396
Larangan,19.25015706486172,1.4,0.0,0.0,0.0,1.233581138472396e-16,0.3717377210425373,Moderate,6599.040615081787
Cilandak,38.522964340246816,1.3999999999999997,6.0,80.0,0.0,0.1875,0.3191813205115242,Moderate,273628.29039919376
Pondok Aren,26.21518949361948,1.4,0.0,0.0,0.0,1.233581138472396e-16,0.3188638034200219,Moderate,3644.5813789367676
Ciputat Timur,32.299213545663015,1.4,0.0,0.0,0.0,1.233581138472396e-16,0.27267791845372225,Moderate,4972.039890289307
Pasar Rebo,48.904049539180455,1.4,1.0,150.0,0.0,0.031250000000000125,0.16224999056904787,Low,226060.71604204178
Cinere,47.699140811788624,1.4,0.0,0.0,0.0,1.233581138472396e-16,0.15577186037136526,Low,5070.222415685654
Cipayung,48.669900150661334,1.4,0.0,0.0,0.0,1.233581138472396e-16,0.14840249779626558,Low,372935.97830384446
Ciracas,53.4536726312539,1.3999999999999997,2.0,50.0,0.0,0.0625,0.14333726241855743,Low,301616.03882050514
Jagakarsa,56.66003452879168,1.4,2.0,300.0,0.0,0.06250000000000012,0.11899668445679468,Low,360725.88429637917
Limo,59.86035891941616,1.4,0.0,0.0,0.0,1.233581138472396e-16,0.0634519392526599,Low,638.2025814056396
Beji,68.21882438659668,1.4,0.0,0.0,0.0,1.233581138472396e-16,6.16790569236198e-17,Low,2603.860528945923
